release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-12-20,J.U.I.C.E.,Roscoe Dash,#180,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/Roscoe%20Dash-%20J.U.I.C.E.jpg,https://open.spotify.com/album/5jfLynEW1OWcfqi08yMddv,https://music.apple.com/us/album/j-u-i-c-e/1443433415
2025-12-20,Price of Fame,"Sean Price & Lil' Fame",,,,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/Sean%20Price%20&%20Lil'%20Fame-%20Price%20of%20Fame.jpg",https://open.spotify.com/album/1RGIwGJYktoqVoPaSY98F4,https://music.apple.com/us/album/price-of-fame/1488643546
2025-12-20,Purple Naked Ladies,The Internet,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/Purple%20Naked%20Ladies.jpg,https://open.spotify.com/album/1ZTnvAXIujEZZ8kzfJirxp,https://music.apple.com/us/album/purple-naked-ladies/488917682
2025-12-20,The Vault,Too $hort,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/Too%20$hort-%20The%20Vault.jpg,https://open.spotify.com/album/06kKqnfLrDNcQCsgdUbg5N,https://music.apple.com/us/album/the-vault/1491075525
2025-12-20,That’s What I’m Talking About,WC,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/Thats%20What%20Im%20Talking%20About.jpg,https://open.spotify.com/album/44OCjlJ1uO2pSsMQkInMXU,https://music.apple.com/us/album/thats-what-im-talking-about/421116247?i=421116293
2025-12-20,The Best Of X-Clan,X-Clan,,,"10,588,234",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/The%20Best%20Of%20X-Clan.jpg,https://open.spotify.com/album/65FStPnXMmqgrY16zvcc3D,https://music.apple.com/us/album/the-best-of-x-clan-feat-brother-j/960839584
2025-12-20,Thug Motivation 103: Hustlerz Ambition,Young Jeezy,#3,Gold,"1,254,700",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/Thug%20Motivation%20103_%20Hustlerz%20Ambition.jpg,https://open.spotify.com/album/4GvDHEW1goHkqJbLJHzUUf,https://music.apple.com/us/album/tm-103-hustlerz-ambition-deluxe-version/1440760265
2025-12-20,Realer,YoungBoy Never Broke Again,#15,Platinum,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/YoungBoy%20Never%20Broke%20Again-%20Realer.jpg,https://open.spotify.com/album/3o5se5blwiAdJPk8yAw1EQ,https://music.apple.com/us/album/realer/1447442327
2025-12-21,Controversy,Willie D,,,"981,496",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/Controversy.jpg,https://open.spotify.com/album/3mGpKcxZIsuNaSexhOZYdl,https://music.apple.com/us/album/controversy/509365190
2025-12-21,Diary of a Mad Band,Jodeci,#3,Platinum,"126,028,214",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/Diary%20of%20a%20Mad%20Band.jpg,https://open.spotify.com/album/41pgxrq2gjdSsGnqofrHGj,https://music.apple.com/us/album/diary-of-a-mad-band-expanded-edition/1609523682
2025-12-21,Hand on the Torch,Us3,#31,Gold,"79,507,228",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/Hand%20on%20the%20Torch.jpg,https://open.spotify.com/album/4Cm1wXjw6YCbkaiZZGNiZ1,https://music.apple.com/us/album/hand-on-the-torch-20th-anniversary-edition/1443141720
